datetime,IF.CFFEX
2024-08-08,-114688.74599999984
2024-08-09,-114688.74599999984
2024-08-12,-114688.74599999984
2024-08-13,-114688.74599999984
2024-08-14,-114688.74599999984
2024-08-15,-114688.74599999984
2024-08-16,-114688.74599999984
2024-08-19,-114688.74599999984
2024-08-20,-114688.74599999984
2024-08-21,-114688.74599999984
2024-08-22,-114688.74599999984
2024-08-23,-114688.74599999984
2024-08-26,-114688.74599999984
2024-08-27,-114688.74599999984
2024-08-28,-114688.74599999984
2024-08-29,-114688.74599999984
2024-08-30,-114688.74599999984
2024-09-02,-114688.74599999984
2024-09-03,-114688.74599999984
2024-09-04,-114688.74599999984
2024-09-05,-114688.74599999984
2024-09-06,-114688.74599999984
2024-09-09,-114688.74599999984
2024-09-10,-114688.74599999984
2024-09-11,-114688.74599999984
2024-09-12,-114688.74599999984
2024-09-13,-114688.74599999984
2024-09-18,-114688.74599999984
2024-09-19,-114688.74599999984
2024-09-20,-114688.74599999984
2024-09-23,-114688.74599999984
2024-09-24,-114688.74599999984
2024-09-25,-114688.74599999984
2024-09-26,-114688.74599999984
2024-09-27,-114688.74599999984
2024-09-30,-114688.74599999984
2024-10-08,-114688.74599999984
2024-10-09,-114688.74599999984
2024-10-10,-114688.74599999984
2024-10-11,-114688.74599999984
2024-10-14,-114688.74599999984
2024-10-15,-114688.74599999984
2024-10-16,-114688.74599999984
2024-10-17,-114688.74599999984
2024-10-18,-114688.74599999984
2024-10-21,-114688.74599999984
2024-10-22,-114688.74599999984
2024-10-23,-114688.74599999984
2024-10-24,-114688.74599999984
2024-10-25,-114688.74599999984
2024-10-28,-114688.74599999984
2024-10-29,-114688.74599999984
2024-10-30,-114688.74599999984
2024-10-31,-114688.74599999984
2024-11-01,-114688.74599999984
2024-11-04,-93529.19399999896
2024-11-05,-118009.1939999996
2024-11-06,-123289.19399999916
2024-11-07,-127129.19399999893
2024-11-08,-135769.19399999978
2024-11-11,-129049.19399999935
2024-11-12,-117529.19399999891
2024-11-13,-117049.19399999935
2024-11-14,-119929.19399999891
2024-11-15,-114169.19399999978
2024-11-18,-114169.19399999978
2024-11-19,-114169.19399999978
2024-11-20,-111289.19399999913
2024-11-21,-102649.19399999935
2024-11-22,-105529.19399999894
2024-11-25,-103129.19399999894
2024-11-26,-93529.19399999894
2024-11-27,-105529.19399999894
2024-11-28,-101209.1939999996
2024-11-29,-100729.19399999894
2024-12-02,-104569.19399999981
2024-12-03,-95929.19400000003
2024-12-04,-93529.19399999894
2024-12-05,-91609.1939999996
2024-12-06,-102169.19399999981
2024-12-09,-92089.19399999916
2024-12-10,-104089.19399999916
2024-12-11,-105049.19399999938
2024-12-12,-102169.19399999872
2024-12-13,-82969.1939999998
