datetime,IC.CFFEX
2025-05-09,-182063.57199999754
2025-05-12,-182063.57199999754
2025-05-13,-182063.57199999754
2025-05-14,-182063.57199999754
2025-05-15,-182063.57199999754
2025-05-16,-182063.57199999754
2025-05-19,-182063.57199999754
2025-05-20,-182063.57199999754
2025-05-21,-182063.57199999754
2025-05-22,-182063.57199999754
2025-05-23,-182063.57199999754
2025-05-26,-182063.57199999754
2025-05-27,-182063.57199999754
2025-05-28,-182063.57199999754
2025-05-29,-182063.57199999754
2025-05-30,-182063.57199999754
2025-06-03,-182063.57199999754
2025-06-04,-182063.57199999754
2025-06-05,-182063.57199999754
2025-06-06,-182063.57199999754
2025-06-09,-182063.57199999754
2025-06-10,-182063.57199999754
2025-06-11,-182063.57199999754
2025-06-12,-182063.57199999754
2025-06-13,-182063.57199999754
2025-06-16,-182063.57199999754
2025-06-17,-182063.57199999754
2025-06-18,-182063.57199999754
2025-06-19,-182063.57199999754
2025-06-20,-182063.57199999754
2025-06-23,-182063.57199999754
2025-06-24,-182063.57199999754
2025-06-25,-182063.57199999754
2025-06-26,-182063.57199999754
2025-06-27,-182063.57199999754
2025-06-30,-182063.57199999754
2025-07-01,-182063.57199999754
2025-07-02,-182063.57199999754
2025-07-03,-182063.57199999754
2025-07-04,-182063.57199999754
2025-07-07,-182063.57199999754
2025-07-08,-182063.57199999754
2025-07-09,-182063.57199999754
2025-07-10,-182063.57199999754
2025-07-11,-182063.57199999754
2025-07-14,-182063.57199999754
2025-07-15,-182063.57199999754
2025-07-16,-182063.57199999754
2025-07-17,-182063.57199999754
2025-07-18,-182063.57199999754
2025-07-21,-182063.57199999754
2025-07-22,-182063.57199999754
2025-07-23,-182063.57199999754
2025-07-24,-182063.57199999754
2025-07-25,-182063.57199999754
2025-07-28,-182063.57199999754
2025-07-29,-182063.57199999754
2025-07-30,-182063.57199999754
2025-07-31,-182063.57199999754
2025-08-01,-182063.57199999754
2025-08-04,-182063.57199999754
2025-08-05,-182063.57199999754
2025-08-06,-182063.57199999754
2025-08-07,-182063.57199999754
2025-08-08,-182063.57199999754
2025-08-11,-182063.57199999754
2025-08-12,-182063.57199999754
2025-08-13,-182063.57199999754
2025-08-14,-182063.57199999754
2025-08-15,-163388.691999997
2025-08-18,-184668.69199999803
2025-08-19,-162828.69199999754
2025-08-20,-178228.69199999754
2025-08-21,-178508.69199999855
2025-08-22,-184388.6919999983
2025-08-25,-180188.691999997
2025-08-26,-176268.69199999803
2025-08-27,-157788.691999997
2025-08-28,-152748.6919999978
2025-08-29,-137628.69199999754
2025-09-01,-135948.6919999978
2025-09-02,-137628.69199999757
2025-09-03,-121388.69199999704
2025-09-04,-120268.69199999806
2025-09-05,-130068.69199999678
2025-09-08,-128108.69199999729
2025-09-09,-107668.69199999678
2025-09-10,-101788.69199999831
2025-09-11,-137068.69199999672
2025-09-12,-142948.69199999774
2025-09-15,-109908.69199999725
2025-09-16,-120004.23199999749
2025-09-17,-120004.23199999749
2025-09-18,-120004.23199999749
2025-09-19,-120004.23199999749
2025-09-22,-120004.23199999749
2025-09-23,-120004.23199999749
2025-09-24,-120004.23199999749
2025-09-25,-120004.23199999749
2025-09-26,-120004.23199999749
2025-09-29,-120004.23199999749
2025-09-30,-120004.23199999749
2025-10-09,-120004.23199999749
2025-10-10,-120004.23199999749
2025-10-13,-120004.23199999749
2025-10-14,-120004.23199999749
2025-10-15,-120004.23199999749
2025-10-16,-120004.23199999749
2025-10-17,-120004.23199999749
2025-10-20,-120004.23199999749
2025-10-21,-120004.23199999749
2025-10-22,-120004.23199999749
2025-10-23,-120004.23199999749
2025-10-24,-120004.23199999749
2025-10-27,-120004.23199999749
2025-10-28,-120004.23199999749
2025-10-29,-120004.23199999749
