datetime,pnl,cost,net_pnl,pair,position_value
2025-08-21,-839.9999999992433,0.0,-839.9999999992433,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-22,279.99999999973807,0.0,279.99999999973807,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-25,-8120.000000000247,0.0,-8120.000000000247,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-26,14279.999999999745,0.0,14279.999999999745,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-27,8679.999999999738,0.0,8679.999999999738,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-28,19040.00000000051,0.0,19040.00000000051,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-29,13160.000000000764,0.0,13160.000000000764,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-01,15400.0,0.0,15400.0,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-02,-8680.000000001019,0.0,-8680.000000001019,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-03,14000.00000000128,0.0,14000.00000000128,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-04,-11200.00000000128,0.0,-11200.00000000128,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-05,-14559.999999999476,0.0,-14559.999999999476,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-08,10640.00000000051,0.0,10640.00000000051,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-09,22120.000000000262,0.0,22120.000000000262,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-10,4759.999999999491,0.0,4759.999999999491,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-11,-12040.000000000524,0.0,-12040.000000000524,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-12,21000.0,0.0,21000.0,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-15,8680.000000001019,0.0,8680.000000001019,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-09-16,0.0,0.0,0.0,,0.0
2025-09-17,0.0,0.0,0.0,,0.0
2025-09-18,0.0,0.0,0.0,,0.0
2025-09-19,0.0,0.0,0.0,,0.0
2025-09-22,0.0,0.0,0.0,,0.0
2025-09-23,0.0,0.0,0.0,,0.0
2025-09-24,0.0,0.0,0.0,,0.0
2025-09-25,0.0,0.0,0.0,,0.0
2025-09-26,0.0,0.0,0.0,,0.0
2025-09-29,0.0,0.0,0.0,,0.0
2025-09-30,0.0,0.0,0.0,,0.0
2025-10-09,0.0,0.0,0.0,,0.0
2025-10-10,0.0,0.0,0.0,,0.0
2025-10-13,0.0,0.0,0.0,,0.0
2025-10-14,0.0,0.0,0.0,,0.0
2025-10-15,0.0,0.0,0.0,,0.0
2025-10-16,0.0,0.0,0.0,,0.0
2025-10-17,0.0,0.0,0.0,,0.0
2025-10-20,0.0,0.0,0.0,,0.0
2025-10-21,0.0,0.0,0.0,,0.0
2025-10-22,0.0,0.0,0.0,,0.0
2025-10-23,0.0,0.0,0.0,,0.0
2025-10-24,0.0,0.0,0.0,,0.0
2025-10-27,0.0,0.0,0.0,,0.0
2025-10-28,0.0,0.0,0.0,,0.0
2025-10-29,0.0,0.0,0.0,,0.0
2025-10-30,0.0,0.0,0.0,,0.0
2025-10-31,0.0,0.0,0.0,,0.0
2025-11-03,0.0,-1750.92,-1750.92,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-04,5519.999999999331,0.0,5519.999999999331,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-05,8880.000000000655,0.0,8880.000000000655,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-06,1439.9999999997817,0.0,1439.9999999997817,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-07,3360.0000000002183,0.0,3360.0000000002183,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-10,960.0000000002183,0.0,960.0000000002183,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-11,1919.9999999993452,0.0,1919.9999999993452,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-12,-2639.9999999997817,0.0,-2639.9999999997817,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-13,13439.999999999782,0.0,13439.999999999782,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-14,-479.99999999956344,0.0,-479.99999999956344,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-17,479.99999999956344,0.0,479.99999999956344,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-18,3120.0000000004366,-1736.232,1383.7680000004366,,0.0
2025-11-19,0.0,0.0,0.0,,0.0
2025-11-20,0.0,0.0,0.0,,0.0
2025-11-21,0.0,-1934.94,-1934.94,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-24,-8679.999999999738,0.0,-8679.999999999738,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-25,12320.000000000262,0.0,12320.000000000262,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-26,-1120.0000000002547,0.0,-1120.0000000002547,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-27,9800.0,0.0,9800.0,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-11-28,14840.000000000524,0.0,14840.000000000524,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-01,-3360.000000000764,0.0,-3360.000000000764,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-02,-1119.9999999989814,0.0,-1119.9999999989814,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-03,-6160.000000000764,0.0,-6160.000000000764,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-04,-2240.0000000005093,0.0,-2240.0000000005093,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-05,10640.000000000495,0.0,10640.000000000495,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-08,1959.9999999995052,0.0,1959.9999999995052,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-09,2240.0000000005093,0.0,2240.0000000005093,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-10,17079.999999999745,0.0,17079.999999999745,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-11,-9519.999999998981,0.0,-9519.999999998981,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-12,559.9999999994761,0.0,559.9999999994761,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-15,-9800.000000000007,0.0,-9800.000000000007,IM2512.CFFEX / IM2603.CFFEX,20000000.0
2025-12-16,0.0,0.0,0.0,,0.0
2025-12-17,0.0,0.0,0.0,,0.0
2025-12-18,0.0,0.0,0.0,,0.0
2025-12-19,0.0,0.0,0.0,,0.0
2025-12-22,0.0,0.0,0.0,,0.0
2025-12-23,0.0,0.0,0.0,,0.0
2025-12-24,0.0,0.0,0.0,,0.0
2025-12-25,0.0,0.0,0.0,,0.0
2025-12-26,0.0,0.0,0.0,,0.0
2025-12-29,0.0,0.0,0.0,,0.0
2025-12-30,0.0,0.0,0.0,,0.0
2025-12-31,0.0,0.0,0.0,,0.0
2026-01-05,0.0,0.0,0.0,,0.0
2026-01-06,0.0,0.0,0.0,,0.0
2026-01-07,0.0,0.0,0.0,,0.0
2026-01-08,0.0,0.0,0.0,,0.0
2026-01-09,0.0,0.0,0.0,,0.0
2026-01-12,0.0,0.0,0.0,,0.0
2026-01-13,0.0,0.0,0.0,,0.0
2026-01-14,0.0,0.0,0.0,,0.0
2026-01-15,0.0,0.0,0.0,,0.0
2026-01-16,0.0,0.0,0.0,,0.0
2026-01-19,0.0,0.0,0.0,,0.0
2026-01-20,0.0,0.0,0.0,,0.0
2026-01-21,0.0,0.0,0.0,,0.0
2026-01-22,0.0,0.0,0.0,,0.0
2026-01-23,0.0,0.0,0.0,,0.0
2026-01-26,0.0,0.0,0.0,,0.0
2026-01-27,0.0,0.0,0.0,,0.0
2026-01-28,0.0,0.0,0.0,,0.0
2026-01-29,0.0,0.0,0.0,,0.0
2026-01-30,0.0,0.0,0.0,,0.0
2026-02-02,0.0,-1868.8080000000004,-1868.8080000000004,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-03,-21839.999999999767,0.0,-21839.999999999767,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-04,7439.999999999782,0.0,7439.999999999782,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-05,1680.0000000006403,0.0,1680.0000000006403,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-06,479.99999999956344,0.0,479.99999999956344,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-09,11280.000000000698,0.0,11280.000000000698,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-10,-4080.000000000655,0.0,-4080.000000000655,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-11,-13920.000000000437,0.0,-13920.000000000437,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-12,1920.0000000004366,0.0,1920.0000000004366,IM2603.CFFEX / IM2606.CFFEX,20000000.0
2026-02-13,13679.999999999563,0.0,13679.999999999563,IM2603.CFFEX / IM2606.CFFEX,20000000.0
