datetime,IM.CFFEX,IC.CFFEX,IF.CFFEX
2024-01-24,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-25,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-26,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-29,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-30,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-31,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-02-01,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-02-02,21098.247999998985,-33123.89600000034,-20279.14200000094
2024-02-05,21098.247999998985,-22563.89600000011,-14001.49800000102
2024-02-06,30386.08799999872,-28083.895999999993,-30741.49800000093
2024-02-07,27741.28799999901,-61323.89599999976,-24441.49800000093
2024-02-08,37004.36399999878,-53163.89599999954,-21561.498000001095
2024-02-19,48044.36399999911,-50523.896000000306,-25341.498000000935
2024-02-20,50444.36399999911,-49923.896000000306,-20121.49800000077
2024-02-21,49484.36399999889,-56763.89600000009,-26601.49800000102
2024-02-22,47924.36399999867,-54843.8960000002,-27321.49800000077
2024-02-23,49844.36399999911,-53883.89599999998,-28761.49800000069
2024-02-26,48404.36399999878,-52563.89600000009,-27501.49800000061
2024-02-27,49964.363999999,-54723.89599999975,-28041.49800000094
2024-02-28,51524.36399999923,-55323.89600000029,-26061.498000000698
2024-02-29,52124.36399999923,-59763.89600000009,-28401.498000000618
2024-03-01,49964.36399999901,-63243.89599999965,-29121.498000000778
2024-03-04,54644.363999998575,-57723.89599999976,-25341.498000000942
2024-03-05,57524.363999998684,-51243.89599999965,-19221.498000000778
2024-03-06,58844.36399999912,-50403.89599999987,-19581.498000000858
2024-03-07,57644.36399999912,-52803.896000000415,-17961.498000000694
2024-03-08,60164.36399999901,-50763.89600000009,-14721.498000000776
2024-03-11,67004.3639999988,-53163.89600000009,-9501.498000001016
2024-03-12,62684.3639999989,-60294.6200000002,-16881.49800000085
2024-03-13,65993.55599999912,-60294.6200000002,-20406.006000000692
2024-03-14,65993.55599999912,-60294.6200000002,-20406.006000000692
